Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
48156234,11/14/2020 03:30:42 PM,11/14/2020 04:06:16 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Street/Curbside,11208,1240 SUTTER AVENUE,SUTTER AVENUE,CHESTNUT STREET,DOSCHER STREET,CHESTNUT STREET,DOSCHER STREET,,BROOKLYN,SUTTER AVENUE,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/14/2020 09:06:19 PM,05 BROOKLYN,3042920061,BROOKLYN,"1,019,687","184,391",PHONE,Unspecified,BROOKLYN,,,,,,,,40.6727165237366,-73.87225039565261,"(40.6727165237366, -73.87225039565261)"
48156483,11/14/2020 08:54:12 AM,11/14/2020 09:19:35 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10467,3545 JEROME AVENUE,JEROME AVENUE,BAINBRIDGE AVENUE,MAJOR DEEGAN EXPWY ET   13 NB,BAINBRIDGE AVENUE,MAJOR DEEGAN EXPWY ET   13 NB,,BRONX,JEROME AVENUE,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/14/2020 02:19:37 PM,26 BRONX,2059000001,BRONX,"1,017,789","263,252",UNKNOWN,Van Cortlandt Park,BRONX,,,,,,,,40.889176136507665,-73.87869895902735,"(40.889176136507665, -73.87869895902735)"
48156765,11/14/2020 06:52:51 PM,11/14/2020 11:26:13 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11222,125 MONITOR STREET,MONITOR STREET,DRIGGS AVENUE,NASSAU AVENUE,DRIGGS AVENUE,NASSAU AVENUE,,BROOKLYN,MONITOR STREET,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/15/2020 04:26:15 AM,01 BROOKLYN,,BROOKLYN,"1,000,237","203,035",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.723946435523885,-73.94232293041804,"(40.723946435523885, -73.94232293041804)"
48156766,11/14/2020 05:52:47 PM,11/14/2020 07:09:08 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11226,305 PARKSIDE AVENUE,PARKSIDE AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,,BROOKLYN,PARKSIDE AVENUE,,Closed,,The Service Request submitted did not have sufficient location or complaint information for the agency to respond.,11/15/2020 12:09:11 AM,09 BROOKLYN,3050510001,BROOKLYN,"995,693","178,175",ONLINE,Parade Ground,BROOKLYN,,,,,,,,40.65571851333065,-73.95875876095177,"(40.65571851333065, -73.95875876095177)"
48169615,11/16/2020 10:01:44 AM,11/16/2020 10:46:53 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10016,VINCENT F ALBANO JR PLAYGROUND,VINCENT F ALBANO JR PLAYGROUND,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,,NEW YORK,VINCENT F ALBANO JR PLAYGROUND,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/16/2020 03:46:56 PM,06 MANHATTAN,1009100027,MANHATTAN,"990,240","209,579",ONLINE,Vincent F. Albano Jr. Playground,MANHATTAN,,,,,,,,40.74192052507358,-73.97838375994691,"(40.74192052507358, -73.97838375994691)"
48270645,11/28/2020 03:14:41 PM,11/28/2020 03:17:06 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11215,MS   51,MS   51,4 STREET,5 STREET,4 STREET,5 STREET,,BROOKLYN,MS   51,,Closed,,The Service Request submitted did not have sufficient location or complaint information for the agency to respond.,11/28/2020 03:17:05 PM,06 BROOKLYN,3009810111,BROOKLYN,"988,549","184,159",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67214961757338,-73.98450233684613,"(40.67214961757338, -73.98450233684613)"
48271542,11/28/2020 02:27:25 PM,11/28/2020 02:44:57 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10036,PIER   84,PIER   84,WEST   43 STREET,WEST   44 STREET,WEST   43 STREET,WEST   44 STREET,,NEW YORK,PIER   84,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/28/2020 02:44:56 PM,04 MANHATTAN,1011070021,MANHATTAN,"983,832","217,613",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76397383712635,-74.00150894491921,"(40.76397383712635, -74.00150894491921)"
48273279,11/28/2020 02:27:42 PM,11/28/2020 02:43:19 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Street/Curbside,11004,81-14 257 STREET,257 STREET,81 AVENUE,82 AVENUE,81 AVENUE,82 AVENUE,,GLEN OAKS,257 STREET,,Closed,,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,11/28/2020 02:43:18 PM,13 QUEENS,4087310004,QUEENS,"1,063,789","209,717",PHONE,Unspecified,QUEENS,,,,,,,,40.74194364695331,-73.71296531325454,"(40.74194364695331, -73.71296531325454)"
48273438,11/28/2020 02:16:59 PM,11/28/2020 02:47:40 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/28/2020 02:47:34 PM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48274283,11/28/2020 01:57:43 PM,11/28/2020 02:00:29 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11211,350 MASPETH AVENUE,MASPETH AVENUE,VANDERVOORT AVENUE,DEAD END,VANDERVOORT AVENUE,DEAD END,,BROOKLYN,MASPETH AVENUE,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/28/2020 02:00:28 PM,01 BROOKLYN,,BROOKLYN,"1,004,549","201,349",PHONE,Cooper Park,BROOKLYN,,,,,,,,40.71930993050488,-73.92677141181667,"(40.71930993050488, -73.92677141181667)"
48120825,11/10/2020 04:07:58 PM,11/19/2020 11:26:20 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/19/2020 11:26:18 AM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48158041,11/15/2020 04:24:21 PM,11/15/2020 04:50:05 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10472,WATSON GLEASON PLAYGROUND,WATSON GLEASON PLAYGROUND,WATSON AVENUE,GLEASON AVENUE,WATSON AVENUE,GLEASON AVENUE,,BRONX,WATSON GLEASON PLAYGROUND,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 09:50:07 PM,09 BRONX,2037500001,BRONX,"1,020,506","241,138",ONLINE,Watson Gleason Playground,BRONX,,,,,,,,40.828469169196076,-73.86899197143198,"(40.828469169196076, -73.86899197143198)"
48158120,11/15/2020 08:29:57 AM,11/15/2020 10:35:31 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11101,41 AVENUE,41 AVENUE,41 AVENUE,VERNON BOULEVARD,41 AVENUE,VERNON BOULEVARD,,,,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 03:35:33 PM,01 QUEENS,,QUEENS,"998,860","214,885",PHONE,Unspecified,QUEENS,,,,,,,,40.756474115811685,-73.9472650610802,"(40.756474115811685, -73.9472650610802)"
48158152,11/15/2020 01:37:33 PM,11/15/2020 02:28:30 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11218,700 CORTELYOU ROAD,CORTELYOU ROAD,EAST    7 STREET,EAST    8 STREET,EAST    7 STREET,EAST    8 STREET,,BROOKLYN,CORTELYOU ROAD,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 07:28:33 PM,12 BROOKLYN,3053910001,BROOKLYN,"992,118","171,968",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63868553966112,-73.97165050807656,"(40.63868553966112, -73.97165050807656)"
48158941,11/15/2020 12:46:45 PM,11/15/2020 01:30:32 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11102,24-02 19 STREET,19 STREET,24 AVENUE,24 ROAD,24 AVENUE,24 ROAD,,ASTORIA,19 STREET,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 06:30:34 PM,01 QUEENS,4008980001,QUEENS,"1,005,632","222,482",ONLINE,Astoria Park,QUEENS,,,,,,,,40.777312121014575,-73.92279730348663,"(40.777312121014575, -73.92279730348663)"
48159865,11/15/2020 02:10:41 PM,11/15/2020 03:34:22 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10028,1000 5 AVENUE,5 AVENUE,EAST   81 STREET,EAST   82 STREET,EAST   81 STREET,EAST   82 STREET,,NEW YORK,5 AVENUE,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/15/2020 08:34:26 PM,64 MANHATTAN,1011110001,MANHATTAN,"994,623","222,956",ONLINE,Central Park,MANHATTAN,,,,,,,,40.77863290127972,-73.96254609596876,"(40.77863290127972, -73.96254609596876)"
48159866,11/15/2020 10:32:37 AM,11/15/2020 11:44:05 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 04:44:07 PM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48159959,11/15/2020 11:23:47 AM,11/15/2020 11:41:35 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Street/Curbside,11215,5 AVENUE,5 AVENUE,5 AVENUE,5 STREET,5 AVENUE,5 STREET,,,,,Closed,,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,11/15/2020 04:41:38 PM,06 BROOKLYN,,BROOKLYN,"988,608","183,956",PHONE,Unspecified,BROOKLYN,,,,,,,,40.6715923992266,-73.98428977627874,"(40.6715923992266, -73.98428977627874)"
48161960,11/15/2020 04:25:22 PM,11/15/2020 04:50:38 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Street/Curbside,10472,1141 NOBLE AVENUE,NOBLE AVENUE,WATSON AVENUE,GLEASON AVENUE,WATSON AVENUE,GLEASON AVENUE,,BRONX,NOBLE AVENUE,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 09:50:42 PM,09 BRONX,2037490059,BRONX,"1,020,390","241,049",PHONE,Unspecified,BRONX,,,,,,,,40.828225365306785,-73.86941160655014,"(40.828225365306785, -73.86941160655014)"
48161963,11/15/2020 11:55:27 AM,11/15/2020 12:22:23 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11206,MARCY AVENUE,MARCY AVENUE,MARCY AVENUE,MYRTLE AVENUE,MARCY AVENUE,MYRTLE AVENUE,,,,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/15/2020 05:22:27 PM,03 BROOKLYN,,BROOKLYN,"998,335","192,625",PHONE,Unspecified,BROOKLYN,,,,,,,,40.69537669187525,-73.9492066430157,"(40.69537669187525, -73.9492066430157)"
48163693,11/15/2020 04:18:29 PM,11/15/2020 05:41:12 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11373,82-02 BROADWAY,BROADWAY,82 STREET,BRITTON AVENUE,82 STREET,BRITTON AVENUE,,ELMHURST,BROADWAY,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/15/2020 10:41:14 PM,04 QUEENS,4015340001,QUEENS,"1,016,744","209,932",ONLINE,Moore Homestead Playground,QUEENS,,,,,,,,40.74283175419591,-73.88273657534144,"(40.74283175419591, -73.88273657534144)"
48163694,11/15/2020 10:55:49 AM,11/15/2020 11:31:15 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10309,WOLFE'S POND PARK,WOLFE'S POND PARK,CORNELIA AVENUE,HOLTEN AVENUE,CORNELIA AVENUE,HOLTEN AVENUE,,STATEN ISLAND,WOLFES POND PARK,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 04:31:18 PM,03 STATEN ISLAND,5065960001,STATEN ISLAND,"930,907","129,131",PHONE,Wolfe's Pond Park,STATEN ISLAND,,,,,,,,40.520949597304075,-74.1918638372202,"(40.520949597304075, -74.1918638372202)"
48163789,11/15/2020 09:50:50 AM,11/15/2020 11:59:20 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Street/Curbside,11355,157-06 BOOTH MEMORIAL AVENUE,BOOTH MEMORIAL AVENUE,157 STREET,PARSONS BOULEVARD,157 STREET,PARSONS BOULEVARD,,FLUSHING,BOOTH MEMORIAL AVENUE,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 04:59:23 PM,07 QUEENS,4067240003,QUEENS,"1,036,648","209,813",PHONE,Unspecified,QUEENS,,,,,,,,40.74240959769977,-73.81090869301072,"(40.74240959769977, -73.81090869301072)"
48163829,11/15/2020 01:31:17 PM,11/15/2020 02:21:54 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11364,ALLEY POND PARK,ALLEY POND PARK,DEAD END,BEND,DEAD END,BEND,,OAKLAND GARDENS,ALLEY POND PARK,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/15/2020 07:22:01 PM,11 QUEENS,4075750001,QUEENS,"1,054,521","213,659",ONLINE,Alley Pond Park,QUEENS,,,,,,,,40.75284189973842,-73.7463696244017,"(40.75284189973842, -73.7463696244017)"
48163830,11/15/2020 10:35:01 AM,11/15/2020 12:02:52 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11375,71-25 113 STREET,113 STREET,71 AVENUE,71 ROAD,71 AVENUE,71 ROAD,,FOREST HILLS,113 STREET,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 05:02:54 PM,06 QUEENS,4022480100,QUEENS,"1,029,169","202,647",ONLINE,Willow Lake Playground,QUEENS,,,,,,,,40.7227818715844,-73.83794631218952,"(40.7227818715844, -73.83794631218952)"
48277374,11/29/2020 07:34:12 AM,11/29/2020 07:55:32 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11365,67-10 FRESH MEADOW LANE,FRESH MEADOW LANE,67 AVENUE,68 AVENUE,67 AVENUE,68 AVENUE,,FRESH MEADOWS,FRESH MEADOW LANE,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/29/2020 07:55:26 AM,08 QUEENS,4069270022,QUEENS,"1,041,170","206,881",ONLINE,Fresh Meadows Playground,QUEENS,,,,,,,,40.7343340576824,-73.79461478923923,"(40.7343340576824, -73.79461478923923)"
48277696,11/29/2020 12:28:31 PM,11/30/2020 08:45:58 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11229,1301 AVENUE S,AVENUE S,EAST   13 STREET,EAST   14 STREET,EAST   13 STREET,EAST   14 STREET,,BROOKLYN,AVENUE S,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/30/2020 08:45:57 AM,15 BROOKLYN,3068190053,BROOKLYN,"995,635","159,076",ONLINE,Kelly Park Playground,BROOKLYN,,,,,,,,40.603295869003645,-73.95900001409144,"(40.603295869003645, -73.95900001409144)"
48278627,11/29/2020 04:29:48 PM,11/29/2020 05:16:06 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10301,GRAND AVENUE,GRAND AVENUE,GRAND AVENUE,HOWARD AVENUE,GRAND AVENUE,HOWARD AVENUE,,,,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/29/2020 05:15:24 PM,01 STATEN ISLAND,,STATEN ISLAND,"957,173","163,016",PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61407630202518,-74.09752622670642,"(40.61407630202518, -74.09752622670642)"
48280799,11/29/2020 02:36:20 PM,11/30/2020 08:43:46 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11230,1310 EAST    4 STREET,EAST    4 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,,BROOKLYN,EAST    4 STREET,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/30/2020 08:43:45 AM,12 BROOKLYN,3065380001,BROOKLYN,"992,092","164,614",ONLINE,Friends Field,BROOKLYN,,,,,,,,40.61850038300177,-73.97175273424241,"(40.61850038300177, -73.97175273424241)"
48281598,11/29/2020 02:38:07 PM,11/30/2020 08:43:16 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10009,144 AVENUE A,AVENUE A,ST MARKS PLACE,EAST    9 STREET,ST MARKS PLACE,EAST    9 STREET,,NEW YORK,AVENUE A,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/30/2020 08:43:14 AM,03 MANHATTAN,1004030001,MANHATTAN,"989,042","204,204",PHONE,Tompkins Square Park,MANHATTAN,,,,,,,,40.72716820472698,-73.98271083621445,"(40.72716820472698, -73.98271083621445)"
48283478,11/29/2020 02:47:53 PM,11/29/2020 04:46:08 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/29/2020 04:45:15 PM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48209940,11/20/2020 03:03:15 PM,11/20/2020 03:38:13 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,,,,,,,,,,,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/20/2020 08:38:15 PM,0 Unspecified,,Unspecified,,,ONLINE,Rockaway Beach,Unspecified,,,,,,,,,,
48205224,11/20/2020 03:30:15 PM,11/20/2020 04:23:04 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10312,54 OSBORNE STREET,OSBORNE STREET,PRESTON AVENUE,WOODS OF ARDEN ROAD,PRESTON AVENUE,WOODS OF ARDEN ROAD,,STATEN ISLAND,OSBORNE STREET,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/20/2020 09:23:08 PM,03 STATEN ISLAND,5053360001,STATEN ISLAND,"938,716","134,831",ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.5366385230109,-74.16381487600356,"(40.5366385230109, -74.16381487600356)"
48205063,11/20/2020 09:35:35 PM,11/20/2020 09:52:03 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10028,1000 5 AVENUE,5 AVENUE,EAST   81 STREET,EAST   82 STREET,EAST   81 STREET,EAST   82 STREET,,NEW YORK,5 AVENUE,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/21/2020 02:52:07 AM,64 MANHATTAN,1011110001,MANHATTAN,"994,623","222,956",PHONE,Central Park,MANHATTAN,,,,,,,,40.77863290127972,-73.96254609596876,"(40.77863290127972, -73.96254609596876)"
48164762,11/16/2020 11:27:31 AM,11/16/2020 12:48:29 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11223,2099 MC DONALD AVENUE,MC DONALD AVENUE,AVENUE S,AVENUE T,AVENUE S,AVENUE T,,BROOKLYN,MCDONALD AVENUE,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/16/2020 05:48:31 PM,15 BROOKLYN,3071040017,BROOKLYN,"991,846","158,287",PHONE,McDonald Playground,BROOKLYN,,,,,,,,40.60113428219098,-73.97264595485817,"(40.60113428219098, -73.97264595485817)"
48165838,11/16/2020 02:53:19 PM,11/16/2020 07:08:33 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10019,11 AVENUE,11 AVENUE,11 AVENUE,WEST   52 STREET,11 AVENUE,WEST   52 STREET,,,,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/17/2020 12:08:36 AM,04 MANHATTAN,,MANHATTAN,"985,989","218,764",PHONE,Unspecified,MANHATTAN,,,,,,,,40.76713287338068,-73.9937220581737,"(40.76713287338068, -73.9937220581737)"
48168685,11/16/2020 09:35:22 AM,11/16/2020 09:39:06 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11372,33-16 78 STREET,78 STREET,NORTHERN BOULEVARD,34 AVENUE,NORTHERN BOULEVARD,34 AVENUE,,JACKSON HEIGHTS,78 STREET,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/16/2020 02:39:09 PM,03 QUEENS,4012500014,QUEENS,"1,014,987","214,340",PHONE,Travers Park,QUEENS,,,,,,,,40.75493687538746,-73.88905703309607,"(40.75493687538746, -73.88905703309607)"
48171222,11/16/2020 04:30:36 PM,11/16/2020 06:55:06 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/16/2020 11:55:08 PM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48172543,11/16/2020 06:06:55 PM,11/16/2020 06:16:05 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11218,700 CORTELYOU ROAD,CORTELYOU ROAD,EAST    7 STREET,EAST    8 STREET,EAST    7 STREET,EAST    8 STREET,,BROOKLYN,CORTELYOU ROAD,,Closed,,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,11/16/2020 11:16:08 PM,12 BROOKLYN,3053910001,BROOKLYN,"992,118","171,968",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63868553966112,-73.97165050807656,"(40.63868553966112, -73.97165050807656)"
48173817,11/16/2020 11:52:12 AM,11/16/2020 12:47:29 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11223,2099 MC DONALD AVENUE,MC DONALD AVENUE,AVENUE S,AVENUE T,AVENUE S,AVENUE T,,BROOKLYN,MCDONALD AVENUE,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/16/2020 05:47:31 PM,15 BROOKLYN,3071040017,BROOKLYN,"991,846","158,287",PHONE,McDonald Playground,BROOKLYN,,,,,,,,40.60113428219098,-73.97264595485817,"(40.60113428219098, -73.97264595485817)"
48219907,11/21/2020 11:49:36 AM,11/21/2020 12:02:25 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11413,138-02 SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,EASTGATE PLAZA,138 ROAD,EASTGATE PLAZA,138 ROAD,,SPRINGFIELD GARDENS,SPRINGFIELD BOULEVARD,,Closed,,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,11/21/2020 05:02:27 PM,12 QUEENS,4130280001,QUEENS,"1,051,967","185,465",PHONE,Montbellier Park,QUEENS,,,,,,,,40.67547633587501,-73.75587137536816,"(40.67547633587501, -73.75587137536816)"
48160863,11/15/2020 01:16:59 PM,11/17/2020 07:35:36 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11367,137 STREET,137 STREET,137 STREET,JEWEL AVENUE,137 STREET,JEWEL AVENUE,,,,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/17/2020 12:35:42 PM,08 QUEENS,,QUEENS,"1,031,777","204,757",PHONE,Unspecified,QUEENS,,,,,,,,40.72855967055012,-73.82852258672517,"(40.72855967055012, -73.82852258672517)"
48174971,11/17/2020 03:16:39 PM,11/17/2020 06:43:42 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10035,114 EAST  128 STREET,EAST  128 STREET,PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,,NEW YORK,EAST  128 STREET,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/17/2020 11:43:43 PM,11 MANHATTAN,1017750165,MANHATTAN,"1,001,724","233,168",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80665089192205,-73.9368798756795,"(40.80665089192205, -73.9368798756795)"
48177079,11/17/2020 04:25:08 PM,11/17/2020 04:37:12 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Street/Curbside,10314,215 SCHMIDTS LANE,SCHMIDTS LANE,LA GUARDIA AVENUE,MANOR ROAD,LA GUARDIA AVENUE,MANOR ROAD,,STATEN ISLAND,SCHMIDTS LANE,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/17/2020 09:37:30 PM,02 STATEN ISLAND,5007070183,STATEN ISLAND,"950,906","161,161",PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6089633458286,-74.12008958869913,"(40.6089633458286, -74.12008958869913)"
48179676,11/17/2020 01:31:37 PM,11/17/2020 02:13:20 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11231,45 PRESIDENT STREET,PRESIDENT STREET,VAN BRUNT STREET,COLUMBIA STREET,VAN BRUNT STREET,COLUMBIA STREET,,BROOKLYN,PRESIDENT STREET,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/17/2020 07:13:24 PM,06 BROOKLYN,3003417502,BROOKLYN,"982,921","188,526",ONLINE,Mother Cabrini Park,BROOKLYN,,,,,,,,40.68413698888219,-74.00479183455087,"(40.68413698888219, -74.00479183455087)"
